combination_id,ft_work_value,pt_work_value,unemployed_value,partner_retired_value,children_value,log_likelihood,disutil_ft_work_good_women,disutil_ft_work_bad_women,disutil_pt_work_good_women,disutil_pt_work_bad_women,disutil_unemployed_good_women,disutil_unemployed_bad_women,disutil_partner_retired_women,disutil_children_ft_work_low,disutil_children_ft_work_high
128,0.5,0.5,0.9,0.1,0.9,131891.39097006782,0.5,0.5,0.5,0.5,0.9,0.9,0.1,0.9,0.9
129,0.5,0.5,0.9,0.5,0.1,53634.52396765737,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.1,0.1
130,0.5,0.5,0.9,0.5,0.5,86210.19899707794,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.5,0.5
131,0.5,0.5,0.9,0.5,0.9,131687.08162721712,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.9,0.9
132,0.5,0.5,0.9,0.9,0.1,55354.652405247456,0.5,0.5,0.5,0.5,0.9,0.9,0.9,0.1,0.1
133,0.5,0.5,0.9,0.9,0.5,88074.27067557652,0.5,0.5,0.5,0.5,0.9,0.9,0.9,0.5,0.5
134,0.5,0.5,0.9,0.9,0.9,133575.75317254278,0.5,0.5,0.5,0.5,0.9,0.9,0.9,0.9,0.9
135,0.5,0.9,0.1,0.1,0.1,134066.40372204958,0.5,0.5,0.9,0.9,0.1,0.1,0.1,0.1,0.1
136,0.5,0.9,0.1,0.1,0.5,175566.13265782013,0.5,0.5,0.9,0.9,0.1,0.1,0.1,0.5,0.5
137,0.5,0.9,0.1,0.1,0.9,223053.57254967536,0.5,0.5,0.9,0.9,0.1,0.1,0.1,0.9,0.9
138,0.5,0.9,0.1,0.5,0.1,138437.69764112635,0.5,0.5,0.9,0.9,0.1,0.1,0.5,0.1,0.1
139,0.5,0.9,0.1,0.5,0.5,179911.47112985066,0.5,0.5,0.9,0.9,0.1,0.1,0.5,0.5,0.5
140,0.5,0.9,0.1,0.5,0.9,227389.39468054177,0.5,0.5,0.9,0.9,0.1,0.1,0.5,0.9,0.9
141,0.5,0.9,0.1,0.9,0.1,141773.76027554355,0.5,0.5,0.9,0.9,0.1,0.1,0.9,0.1,0.1
142,0.5,0.9,0.1,0.9,0.5,183248.3207168259,0.5,0.5,0.9,0.9,0.1,0.1,0.9,0.5,0.5
143,0.5,0.9,0.1,0.9,0.9,230726.99052517433,0.5,0.5,0.9,0.9,0.1,0.1,0.9,0.9,0.9
144,0.5,0.9,0.5,0.1,0.1,77151.44821669157,0.5,0.5,0.9,0.9,0.5,0.5,0.1,0.1,0.1
145,0.5,0.9,0.5,0.1,0.5,92308.75337296657,0.5,0.5,0.9,0.9,0.5,0.5,0.1,0.5,0.5
146,0.5,0.9,0.5,0.1,0.9,130338.27663197945,0.5,0.5,0.9,0.9,0.5,0.5,0.1,0.9,0.9
147,0.5,0.9,0.5,0.5,0.1,76831.23574022786,0.5,0.5,0.9,0.9,0.5,0.5,0.5,0.1,0.1
148,0.5,0.9,0.5,0.5,0.5,92926.9079580945,0.5,0.5,0.9,0.9,0.5,0.5,0.5,0.5,0.5
149,0.5,0.9,0.5,0.5,0.9,131135.05798076262,0.5,0.5,0.9,0.9,0.5,0.5,0.5,0.9,0.9
150,0.5,0.9,0.5,0.9,0.1,79216.4711489582,0.5,0.5,0.9,0.9,0.5,0.5,0.9,0.1,0.1
151,0.5,0.9,0.5,0.9,0.5,95279.47243952626,0.5,0.5,0.9,0.9,0.5,0.5,0.9,0.5,0.5
152,0.5,0.9,0.5,0.9,0.9,133311.53770065116,0.5,0.5,0.9,0.9,0.5,0.5,0.9,0.9,0.9
153,0.5,0.9,0.9,0.1,0.1,85594.79030134022,0.5,0.5,0.9,0.9,0.9,0.9,0.1,0.1,0.1
154,0.5,0.9,0.9,0.1,0.5,62524.78878914015,0.5,0.5,0.9,0.9,0.9,0.9,0.1,0.5,0.5
155,0.5,0.9,0.9,0.1,0.9,94485.33368182005,0.5,0.5,0.9,0.9,0.9,0.9,0.1,0.9,0.9
156,0.5,0.9,0.9,0.5,0.1,84746.15782663558,0.5,0.5,0.9,0.9,0.9,0.9,0.5,0.1,0.1
157,0.5,0.9,0.9,0.5,0.5,61904.22371754963,0.5,0.5,0.9,0.9,0.9,0.9,0.5,0.5,0.5
158,0.5,0.9,0.9,0.5,0.9,93993.25570504919,0.5,0.5,0.9,0.9,0.9,0.9,0.5,0.9,0.9
159,0.5,0.9,0.9,0.9,0.1,85829.20827694233,0.5,0.5,0.9,0.9,0.9,0.9,0.9,0.1,0.1
160,0.5,0.9,0.9,0.9,0.5,63192.431194986726,0.5,0.5,0.9,0.9,0.9,0.9,0.9,0.5,0.5
161,0.5,0.9,0.9,0.9,0.9,95357.76309634437,0.5,0.5,0.9,0.9,0.9,0.9,0.9,0.9,0.9
162,0.9,0.1,0.1,0.1,0.1,113002.83070591457,0.9,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1
163,0.9,0.1,0.1,0.1,0.5,160690.93178627186,0.9,0.9,0.1,0.1,0.1,0.1,0.1,0.5,0.5
164,0.9,0.1,0.1,0.1,0.9,208407.387909333,0.9,0.9,0.1,0.1,0.1,0.1,0.1,0.9,0.9
165,0.9,0.1,0.1,0.5,0.1,116731.99505851438,0.9,0.9,0.1,0.1,0.1,0.1,0.5,0.1,0.1
166,0.9,0.1,0.1,0.5,0.5,164419.64156519424,0.9,0.9,0.1,0.1,0.1,0.1,0.5,0.5,0.5
167,0.9,0.1,0.1,0.5,0.9,212135.36936821672,0.9,0.9,0.1,0.1,0.1,0.1,0.5,0.9,0.9
168,0.9,0.1,0.1,0.9,0.1,121265.5101180396,0.9,0.9,0.1,0.1,0.1,0.1,0.9,0.1,0.1
169,0.9,0.1,0.1,0.9,0.5,168954.04705564294,0.9,0.9,0.1,0.1,0.1,0.1,0.9,0.5,0.5
170,0.9,0.1,0.1,0.9,0.9,216670.6620600539,0.9,0.9,0.1,0.1,0.1,0.1,0.9,0.9,0.9
171,0.9,0.1,0.5,0.1,0.1,126470.93632014963,0.9,0.9,0.1,0.1,0.5,0.5,0.1,0.1,0.1
172,0.9,0.1,0.5,0.1,0.5,174160.0991071461,0.9,0.9,0.1,0.1,0.5,0.5,0.1,0.5,0.5
173,0.9,0.1,0.5,0.1,0.9,221876.53798915018,0.9,0.9,0.1,0.1,0.5,0.5,0.1,0.9,0.9
174,0.9,0.1,0.5,0.5,0.1,128544.73274429126,0.9,0.9,0.1,0.1,0.5,0.5,0.5,0.1,0.1
175,0.9,0.1,0.5,0.5,0.5,176233.34852267342,0.9,0.9,0.1,0.1,0.5,0.5,0.5,0.5,0.5
176,0.9,0.1,0.5,0.5,0.9,223948.98827357386,0.9,0.9,0.1,0.1,0.5,0.5,0.5,0.9,0.9
177,0.9,0.1,0.5,0.9,0.1,132398.3246274843,0.9,0.9,0.1,0.1,0.5,0.5,0.9,0.1,0.1
178,0.9,0.1,0.5,0.9,0.5,180087.50736576284,0.9,0.9,0.1,0.1,0.5,0.5,0.9,0.5,0.5
179,0.9,0.1,0.5,0.9,0.9,227803.79657732148,0.9,0.9,0.1,0.1,0.5,0.5,0.9,0.9,0.9
180,0.9,0.1,0.9,0.1,0.1,141265.2459390398,0.9,0.9,0.1,0.1,0.9,0.9,0.1,0.1,0.1
181,0.9,0.1,0.9,0.1,0.5,188954.8153345756,0.9,0.9,0.1,0.1,0.9,0.9,0.1,0.5,0.5
182,0.9,0.1,0.9,0.1,0.9,236671.44681665022,0.9,0.9,0.1,0.1,0.9,0.9,0.1,0.9,0.9
183,0.9,0.1,0.9,0.5,0.1,142873.0193645132,0.9,0.9,0.1,0.1,0.9,0.9,0.5,0.1,0.1
184,0.9,0.1,0.9,0.5,0.5,190561.80349566732,0.9,0.9,0.1,0.1,0.9,0.9,0.5,0.5,0.5
185,0.9,0.1,0.9,0.5,0.9,238277.60614337644,0.9,0.9,0.1,0.1,0.9,0.9,0.5,0.9,0.9
186,0.9,0.1,0.9,0.9,0.1,145471.7843745261,0.9,0.9,0.1,0.1,0.9,0.9,0.9,0.1,0.1
187,0.9,0.1,0.9,0.9,0.5,193161.1527943696,0.9,0.9,0.1,0.1,0.9,0.9,0.9,0.5,0.5
188,0.9,0.1,0.9,0.9,0.9,240878.14125134592,0.9,0.9,0.1,0.1,0.9,0.9,0.9,0.9,0.9
